STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-01,2.5,"1,,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-02,3.16,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-03,3.23,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-04,4.11,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-05,4.75,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-06,5.27,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-07,5.48,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-08,7.06,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-09,3.2,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-10,4,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-11,2.81,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1949-12,1.95,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-01,5.48,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-02,2.53,",a,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-03,4.68,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-04,1.69,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-05,4.46,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-06,4.59,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-07,3.59,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-08,2.94,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-09,5.9,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-10,2.06,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-11,1.55,",,,0"
USC00312270,"DAYBOOK, NC US",35.98333,-82.3,716.9,1950-12,2.79,",,,0"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1914-11,5.38,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1914-12,,
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1915-01,,
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1915-02,,
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1915-03,2.65,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1915-04,3.9,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1915-05,5.98,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1915-06,,
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1915-07,7.75,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1915-08,,
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1915-09,,
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1915-10,,
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1915-12,3.2,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1916-01,1.8,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1916-02,2.32,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1916-04,2.02,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1916-05,5.9,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1916-06,7.76,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1916-07,7.42,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1916-08,8.75,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1916-09,3.1,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1916-10,2.15,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1916-11,1.5,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1916-12,3.69,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-01,5.4,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-02,1.89,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-03,3.57,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-04,5.13,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-05,2.54,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-06,11.09,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-07,13.31,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-08,5.8,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-09,13.46,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-10,3.94,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-11,1.36,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1917-12,2.09,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-01,4.65,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-02,1.43,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-03,1.37,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-04,10.31,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-05,2.45,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-06,3.06,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-07,11.21,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-08,10.39,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-09,3.42,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-10,1.29,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-11,4,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1918-12,5.19,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-01,4.62,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-02,3.61,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-03,4.2,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-04,1.8,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-05,5.22,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-06,3.59,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-07,6.81,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-08,5.72,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-09,2.46,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-10,3.06,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-11,0.43,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1919-12,2.04,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-01,2.45,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-02,7.07,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-03,4.4,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-04,3.96,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-05,1.24,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-06,4.19,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-07,8.05,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-08,10.04,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-09,5.02,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-10,1.26,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-11,4.49,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1920-12,6.03,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-01,2.52,"1,,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-02,4.5,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-03,3.86,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-04,4.05,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-05,6.57,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-06,2.37,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-07,8.35,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-08,3.87,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-09,4.91,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-10,1.31,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-11,2.16,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1921-12,2.48,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-01,4.4,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-02,6.45,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-03,4.91,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-04,2.3,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-05,1.72,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-06,10.29,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-07,5.68,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-08,6.93,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-09,3.04,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-10,2.63,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-11,0.51,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1922-12,6.21,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-01,3.43,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-02,2.59,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-03,3.59,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-04,4.94,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-05,0.97,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-06,0.99,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-07,8.48,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-08,6.97,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-09,3.94,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-10,3.1,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-11,4.2,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1923-12,2.06,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1924-01,4.28,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1924-02,5.67,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1924-03,2.02,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1924-04,2.09,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1924-05,5.37,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1924-06,9.44,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1924-07,10.2,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1924-08,5.12,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1924-09,12.3,",,,6"
USC00319225,"WENONA, NC US",35.716667,-76.633333,6.4,1924-10,0.39,",,,6"
