Observation Time,Maximum Category,Path Length (miles),Path Width (yards),Injuries,Fatalities,Monetary Loss,Origin Latitude,Origin Longitude,Track End Latitude,Track End Longitude,Affected Counties
2/23/1980 17:00,F-0,0.1,10,0,0,$0 or unknown,35.62,-77.6,0,0,Pitt County NC
2/25/1980 16:15,F-0,0.1,10,0,0,"$2,000 ",35.02,-78.57,0,0,Clay County NC
3/24/1980 22:25,F-1,1.2,150,0,0,"$5,000 ",36.27,-77.28,0,0,Northampton County NC
4/9/1980 0:15,F-1,1.9,37,0,0,"$5,000 ",36.15,-80.3,36.15,-80.27,Forsyth County NC
4/27/1980 11:15,F-0,0.1,10,0,0,$0 or unknown,34.13,-78.1,0,0,Brunswick County NC
5/18/1980 1:40,F-2,3.3,50,0,0,"$5,000 ",35.1,-80.43,35.12,-80.38,Union County NC
5/20/1980 13:42,F-1,0.2,10,0,0,"$4,000 ",34.48,-79.08,0,0,Robeson County NC
5/20/1980 17:30,F-1,0.5,200,0,0,"$4,000 ",35.47,-77.05,0,0,Beaufort County NC
6/26/1980 13:15,F-0,0.1,10,0,0,$0 or unknown,35.35,-77.97,0,0,Wayne County NC
7/3/1980 16:39,F-0,0.1,10,0,0,$0 or unknown,35.45,-77.97,0,0,Wayne County NC
7/10/1980 17:32,F-1,0.2,50,0,0,"$3,000 ",34.97,-78.53,0,0,Sampson County NC
8/1/1980 16:44,F-0,0.1,10,0,0,"$2,000 ",34.95,-78.53,0,0,Sampson County NC
10/3/1980 15:30,F-1,1.5,500,0,0,"$4,000 ",35.55,-77.03,0,0,Beaufort County NC
2/11/1981 1:45,F-2,5.2,700,0,0,"$6,000 ",35.08,-79.5,35.13,-79.43,Moore County NC
2/11/1981 1:55,F-2,7.6,800,0,0,"$5,000 ",35.2,-79.38,35.25,-79.27,Moore County NC
2/11/1981 2:30,F-2,12.4,847,0,1,"$5,000 ",34.98,-79.08,35.07,-78.9,Hoke County NC; Cumberland County NC
2/11/1981 3:05,F-2,1.9,800,2,0,"$5,000 ",35.78,-78.5,0,0,Wake County NC
