STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW
US1NCCC0010,"POINT HARBOR 0.2 WSW, NC US",36.078571,-75.797325,2.1,2021-02,,,,,1.84,9.37,
US1NCBT0037,"MERRY HILL 3.2 N, NC US",36.05853,-76.76573,10.7,2021-02,,,,,1,7.34,
US1NCCC0014,"COROLLA 5.8 SSE, NC US",36.299,-75.803,2.7,2021-02,,,,,1.19,9.06,
USC00317319,"ROANOKE RAPIDS, NC US",36.47893,-77.67141,64,2021-02,,,,,1.4,8.21,
US1NCCC0015,"GRANDY 0.6 E, NC US",36.242784,-75.867977,0.6,2021-02,,,,,1.4,8.52,
US1NCCC0019,"MOYOCK 1.8 SSE, NC US",36.502925,-76.161466,3,2021-02,,,,,0.95,6.02,
USC00314055,"HIGHLANDS, NC US",35.05646,-83.19822,1173.5,2021-02,3,1,5,5.2,1.51,8.86,5.9
US1NCDP0036,"KENANSVILLE 1.1 SW, NC US",34.950863,-77.978949,37.2,2021-02,,,,,,7.23,
US1NCHW0058,"CRABTREE 1.7 ENE, NC US",35.60944,-82.91278,864.4,2021-02,,,,,1.09,4.28,
USW00013766,"MANTEO AIRPORT, NC US",35.9173,-75.7,4,2021-02,0,,0,,1.2,6.5,
US1NCCR0049,"EMERALD ISLE 2.3 WSW, NC US",34.65437114,-77.06712574,5.2,2021-02,,,,,1.76,8.69,
USC00316236,"NORTH FORK 2, NC US",35.66308,-82.34446,755.9,2021-02,0,2,0,2,0.97,4.3,3
USR0000NRCK,"ROCKINGHAM NORTH CAROLINA, NC US",34.96,-79.69,121.9,2021-02,,,,,,,
USC00316001,"MURPHY 4 ESE, NC US",35.0714,-83.9684,487.7,2021-02,2,1,2,1.2,1.52,6.59,2.2
USC00314063,"HIGH POINT, NC US",35.96743,-79.97086,274.3,2021-02,0,0,0,0,1.18,7.24,0
US1NCML0001,"BAKERSVILLE 5.4 N, NC US",36.092,-82.175,1168,2021-02,,,,,0.74,4.26,
US1NCRB0007,"LUMBERTON 2.6 ESE, NC US",34.620673,-78.971868,44.5,2021-02,,,,,1.76,7.83,
US1NCML0002,"BAKERSVILLE 2.5 SE, NC US",35.989,-82.128,893.1,2021-02,8,3,4,4,0.88,4.16,7
US1NCDP0025,"ALBERTSON 1.2 WNW, NC US",35.12012,-77.83897,30.2,2021-02,,,,,2,8.55,
US1NCHW0048,"WAYNESVILLE 4.1 NNW, NC US",35.53742981,-83.03031921,824.8,2021-02,,,,,1.25,5.29,
USW00013776,"LUMBERTON REGIONAL AIRPORT, NC US",34.608,-79.0591,36.9,2021-02,,,,,1.67,6.02,
US1NCCR0012,"MOREHEAD CITY 0.6 NW, NC US",34.73,-76.74,4,2021-02,,,,,2.12,10.09,
USC00316256,"NORTH WILKESBORO, NC US",36.1638,-81.1536,341.4,2021-02,1,0,1,0.8,0.85,5.74,0.8
US1NCDP0017,"ROSE HILL 0.1 NNW, NC US",34.82587,-78.02864,30.2,2021-02,,,,,2.23,7.09,
