"Observation Time","Diameter (inches)","Diameter (cm)","Diameter (mm)",Latitude,Longitude,"Affected County"
"1990-04-01 15:00:00",0.75,1.91,19.05,35.85,-81.28,"Alexander County NC"
"1990-04-01 16:30:00",1,2.54,25.4,35.23,-80.85,"Mecklenburg County NC"
"1990-04-01 17:02:00",1,2.54,25.4,35.08,-80.52,"Union County NC"
"1990-04-01 17:15:00",0.75,1.91,19.05,35.47,-81.27,"Lincoln County NC"
"1990-04-01 17:38:00",1.75,4.45,44.45,35,-80.1,"Anson County NC"
"1990-04-01 18:00:00",0.75,1.91,19.05,35.43,-81.63,"Cleveland County NC"
"1990-04-01 18:40:00",1,2.54,25.4,34.93,-79.78,"Richmond County NC"
"1990-04-01 18:45:00",0.75,1.91,19.05,34.8,-79.53,"Scotland County NC"
"1990-04-01 19:00:00",0.75,1.91,19.05,35.27,-81.18,"Gaston County NC"
"1990-04-01 19:18:00",1.75,4.45,44.45,35.3,-81.02,"Gaston County NC"
"1990-04-01 19:25:00",1,2.54,25.4,35.32,-80.85,"Mecklenburg County NC"
"1990-04-01 20:34:00",1,2.54,25.4,34.98,-80.57,"Union County NC"
"1990-04-01 20:52:00",1.75,4.45,44.45,34.97,-80.1,"Anson County NC"
"1990-04-01 21:13:00",0.75,1.91,19.05,35.05,-79.15,"Hoke County NC"
"1990-04-02 14:20:00",0.75,1.91,19.05,36.33,-80.4,"Stokes County NC"
"1990-04-02 15:07:00",1.75,4.45,44.45,35.35,-79.45,"Moore County NC"
"1990-04-02 16:30:00",1.5,3.81,38.1,35.08,-78.98,"Cumberland County NC"
"1990-04-02 16:46:00",1,2.54,25.4,36.18,-78.93,"Durham County NC"
"1990-04-02 17:00:00",1.5,3.81,38.1,35,-78.65,"Sampson County NC"
"1990-04-02 18:18:00",1.75,4.45,44.45,36.1,-79.28,"Alamance County NC"
"1990-04-02 18:55:00",1.75,4.45,44.45,36.25,-78.67,"Granville County NC"
"1990-04-02 19:00:00",1.75,4.45,44.45,36.23,-78.43,"Vance County NC"
"1990-04-02 19:26:00",0.75,1.91,19.05,36.02,-78.92,"Durham County NC"
"1990-04-02 20:00:00",1.75,4.45,44.45,35.82,-78.33,"Wake County NC"
"1990-04-02 20:05:00",0.75,1.91,19.05,36.08,-79.1,"Orange County NC"
"1990-04-02 22:40:00",0.75,1.91,19.05,35.07,-78.9,"Cumberland County NC"
"1990-04-30 16:45:00",0.75,1.91,19.05,34.27,-78.67,"Columbus County NC"
"1990-04-30 19:00:00",1,2.54,25.4,34.08,-78.2,"Brunswick County NC"
"1990-04-30 20:00:00",0.75,1.91,19.05,34.77,-79.45,"Scotland County NC"
"1990-04-30 20:30:00",1.75,4.45,44.45,34.62,-79,"Robeson County NC"
"1990-04-30 21:00:00",0.75,1.91,19.05,34.53,-78.8,"Bladen County NC"
"1990-04-30 21:25:00",1,2.54,25.4,34.03,-78.73,"Columbus County NC"
"1990-04-30 22:30:00",0.75,1.91,19.05,34.53,-79.28,"Robeson County NC"
"1990-05-01 14:50:00",1.5,3.81,38.1,36.07,-81.25,"Wilkes County NC"
"1990-05-01 15:30:00",1,2.54,25.4,36.42,-80.22,"Stokes County NC"
"1990-05-01 16:00:00",1,2.54,25.4,35.82,-81.53,"Caldwell County NC"
"1990-05-01 16:10:00",1.75,4.45,44.45,35.37,-81.97,"Rutherford County NC"
"1990-05-01 16:15:00",1,2.54,25.4,36.37,-79.7,"Rockingham County NC"
"1990-05-01 16:30:00",1,2.54,25.4,36.22,-79.68,"Guilford County NC"
"1990-05-01 16:45:00",1,2.54,25.4,36.12,-79.55,"Guilford County NC"
"1990-05-01 17:10:00",1,2.54,25.4,35.42,-82.2,"Rutherford County NC"
"1990-05-01 17:22:00",0.75,1.91,19.05,35.38,-81.38,"Gaston County NC"
"1990-05-01 18:35:00",1,2.54,25.4,35.23,-80.85,"Mecklenburg County NC"
"1990-05-01 20:45:00",0.75,1.91,19.05,34.83,-78.45,"Sampson County NC"
"1990-05-02 15:32:00",1,2.54,25.4,35.15,-82.83,"Transylvania County NC"
"1990-05-02 15:56:00",1,2.54,25.4,35.15,-82.65,"Transylvania County NC"
"1990-05-02 16:33:00",1,2.54,25.4,35.95,-81.18,"Alexander County NC"
"1990-05-02 17:19:00",1.75,4.45,44.45,35.98,-80.57,"Davie County NC"
"1990-05-02 18:33:00",1.75,4.45,44.45,35.7,-80.43,"Rowan County NC"
"1990-05-02 18:40:00",1.5,3.81,38.1,35.78,-80.2,"Davidson County NC"
"1990-05-02 19:00:00",1.75,4.45,44.45,35.93,-81.17,"Alexander County NC"
"1990-05-02 19:38:00",0.75,1.91,19.05,35.78,-80.9,"Iredell County NC"
"1990-05-02 20:49:00",1.25,3.18,31.75,35.13,-80.38,"Union County NC"
"1990-05-02 21:30:00",0.75,1.91,19.05,35.15,-80.15,"Anson County NC"
