EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10088886,ALEXANDER CO., ,04/01/1990,1500,Hail,.75, ,0,0,0,0,NC,CST, , ,C,3,GSO,0,0, , ,0,0,0, ,0, , ,04/01/1990,1500,35.85,-81.28, , ,"","",1
10088888,MECKLENBURG CO., ,04/01/1990,1630,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,119,CLT,0,0, , ,0,0,0, ,0, , ,04/01/1990,1630,35.23,-80.85, , ,"","",2
10088889,UNION CO., ,04/01/1990,1702,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,179,CLT,0,0, , ,0,0,0, ,0, , ,04/01/1990,1702,35.08,-80.52, , ,"","",3
10088890,LINCOLN CO., ,04/01/1990,1715,Hail,.75, ,0,0,0,0,NC,CST, , ,C,109,CLT,0,0, , ,0,0,0, ,0, , ,04/01/1990,1715,35.47,-81.27, , ,"","",4
10088891,ANSON CO., ,04/01/1990,1738,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,7,CLT,0,0, , ,0,0,0, ,0, , ,04/01/1990,1738,35.00,-80.10, , ,"","",5
10088892,CLEVELAND CO., ,04/01/1990,1800,Hail,.75, ,0,0,0,0,NC,CST, , ,C,45,CLT,0,0, , ,0,0,0, ,0, , ,04/01/1990,1800,35.43,-81.63, , ,"","",6
10088893,RICHMOND CO., ,04/01/1990,1840,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,153,CLT,0,0, , ,0,0,0, ,0, , ,04/01/1990,1840,34.93,-79.78, , ,"","",7
10088894,SCOTLAND CO., ,04/01/1990,1845,Hail,.75, ,0,0,0,0,NC,CST, , ,C,165,RDU,0,0, , ,0,0,0, ,0, , ,04/01/1990,1845,34.80,-79.53, , ,"","",8
10088895,GASTON CO., ,04/01/1990,1900,Hail,.75, ,0,0,0,0,NC,CST, , ,C,71,CLT,0,0, , ,0,0,0, ,0, , ,04/01/1990,1900,35.27,-81.18, , ,"","",9
10088896,GASTON CO., ,04/01/1990,1918,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,71,CLT,0,0, , ,0,0,0, ,0, , ,04/01/1990,1918,35.30,-81.02, , ,"","",10
10088897,MECKLENBURG CO., ,04/01/1990,1925,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,119,CLT,0,0, , ,0,0,0, ,0, , ,04/01/1990,1925,35.32,-80.85, , ,"","",11
10088898,UNION CO., ,04/01/1990,2034,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,179,CLT,0,0, , ,0,0,0, ,0, , ,04/01/1990,2034,34.98,-80.57, , ,"","",12
10088899,ANSON CO., ,04/01/1990,2052,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,7,CLT,0,0, , ,0,0,0, ,0, , ,04/01/1990,2052,34.97,-80.10, , ,"","",13
10088900,HOKE CO., ,04/01/1990,2113,Hail,.75, ,0,0,0,0,NC,CST, , ,C,93,RDU,0,0, , ,0,0,0, ,0, , ,04/01/1990,2113,35.05,-79.15, , ,"","",14
10088901,STOKES CO., ,04/02/1990,1420,Hail,.75, ,0,0,0,0,NC,CST, , ,C,169,GSO,0,0, , ,0,0,0, ,0, , ,04/02/1990,1420,36.33,-80.40, , ,"","",15
10088902,MOORE CO., ,04/02/1990,1507,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,125,RDU,0,0, , ,0,0,0, ,0, , ,04/02/1990,1507,35.35,-79.45, , ,"","",16
10088904,CUMBERLAND CO., ,04/02/1990,1630,Hail,1.50, ,0,0,0,0,NC,CST, , ,C,51,RDU,0,0, , ,0,0,0, ,0, , ,04/02/1990,1630,35.08,-78.98, , ,"","",17
10088905,DURHAM CO., ,04/02/1990,1646,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,63,RDU,0,0, , ,0,0,0, ,0, , ,04/02/1990,1646,36.18,-78.93, , ,"","",18
10088906,SAMPSON CO., ,04/02/1990,1700,Hail,1.50, ,0,0,0,0,NC,CST, , ,C,163,ILM,0,0, , ,0,0,0, ,0, , ,04/02/1990,1700,35.00,-78.65, , ,"","",19
10088907,ALAMANCE CO., ,04/02/1990,1818,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,1,GSO,0,0, , ,0,0,0, ,0, , ,04/02/1990,1818,36.10,-79.28, , ,"","",20
10088909,GRANVILLE CO., ,04/02/1990,1855,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,77,RDU,0,0, , ,0,0,0, ,0, , ,04/02/1990,1855,36.25,-78.67, , ,"","",21
10088910,VANCE CO., ,04/02/1990,1900,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,181,RDU,0,0, , ,0,0,0, ,0, , ,04/02/1990,1900,36.23,-78.43, , ,"","",22
10088911,DURHAM CO., ,04/02/1990,1926,Hail,.75, ,0,0,0,0,NC,CST, , ,C,63,RDU,0,0, , ,0,0,0, ,0, , ,04/02/1990,1926,36.02,-78.92, , ,"","",23
10088912,WAKE CO., ,04/02/1990,2000,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,183,RDU,0,0, , ,0,0,0, ,0, , ,04/02/1990,2000,35.82,-78.33, , ,"","",24
10088913,ORANGE CO., ,04/02/1990,2005,Hail,.75, ,0,0,0,0,NC,CST, , ,C,135,RDU,0,0, , ,0,0,0, ,0, , ,04/02/1990,2005,36.08,-79.10, , ,"","",25
10088914,CUMBERLAND CO., ,04/02/1990,2240,Hail,.75, ,0,0,0,0,NC,CST, , ,C,51,RDU,0,0, , ,0,0,0, ,0, , ,04/02/1990,2240,35.07,-78.90, , ,"","",26
10088921,COLUMBUS CO., ,04/30/1990,1645,Hail,.75, ,0,0,0,0,NC,CST, , ,C,47,ILM,0,0, , ,0,0,0, ,0, , ,04/30/1990,1645,34.27,-78.67, , ,"","",27
10088922,BRUNSWICK CO., ,04/30/1990,1900,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,19,ILM,0,0, , ,0,0,0, ,0, , ,04/30/1990,1900,34.08,-78.20, , ,"","",28
10088923,SCOTLAND CO., ,04/30/1990,2000,Hail,.75, ,0,0,0,0,NC,CST, , ,C,165,RDU,0,0, , ,0,0,0, ,0, , ,04/30/1990,2000,34.77,-79.45, , ,"","",29
10088924,ROBESON CO., ,04/30/1990,2030,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,155,ILM,0,0, , ,0,0,0, ,0, , ,04/30/1990,2030,34.62,-79.00, , ,"","",30
10088926,BLADEN CO., ,04/30/1990,2100,Hail,.75, ,0,0,0,0,NC,CST, , ,C,17,ILM,0,0, , ,0,0,0, ,0, , ,04/30/1990,2100,34.53,-78.80, , ,"","",31
10088927,COLUMBUS CO., ,04/30/1990,2125,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,47,ILM,0,0, , ,0,0,0, ,0, , ,04/30/1990,2125,34.03,-78.73, , ,"","",32
10088928,ROBESON CO., ,04/30/1990,2230,Hail,.75, ,0,0,0,0,NC,CST, , ,C,155,ILM,0,0, , ,0,0,0, ,0, , ,04/30/1990,2230,34.53,-79.28, , ,"","",33
10088929,WILKES CO., ,05/01/1990,1450,Hail,1.50, ,0,0,0,0,NC,CST, , ,C,193,GSO,0,0, , ,0,0,0, ,0, , ,05/01/1990,1450,36.07,-81.25, , ,"","",34
10088930,ALEXANDER CO., ,05/01/1990,1530,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,3,GSO,0,0, , ,0,0,0, ,0, , ,05/01/1990,1530,35.90,-81.08, , ,"","",35
10088931,STOKES CO., ,05/01/1990,1530,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,169,GSO,0,0, , ,0,0,0, ,0, , ,05/01/1990,1530,36.42,-80.22, , ,"","",36
10088934,CALDWELL CO., ,05/01/1990,1600,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,27,AVL,0,0, , ,0,0,0, ,0, , ,05/01/1990,1600,35.82,-81.53, , ,"","",37
10088935,RUTHERFORD CO., ,05/01/1990,1610,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,161,AVL,0,0, , ,0,0,0, ,0, , ,05/01/1990,1610,35.37,-81.97, , ,"","",38
10088936,ROCKINGHAM CO., ,05/01/1990,1615,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,157,GSO,0,0, , ,0,0,0, ,0, , ,05/01/1990,1615,36.37,-79.70, , ,"","",39
10088937,GUILFORD CO., ,05/01/1990,1630,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,81,GSO,0,0, , ,0,0,0, ,0, , ,05/01/1990,1630,36.22,-79.68, , ,"","",40
10088938,GUILFORD CO., ,05/01/1990,1645,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,81,GSO,0,0, , ,0,0,0, ,0, , ,05/01/1990,1645,36.12,-79.55, , ,"","",41
10088941,RUTHERFORD CO., ,05/01/1990,1710,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,161,AVL,0,0, , ,0,0,0, ,0, , ,05/01/1990,1710,35.42,-82.20, , ,"","",42
10088940,POLK CO., ,05/01/1990,1710,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,149,AVL,0,0, , ,0,0,0, ,0, , ,05/01/1990,1710,35.30,-82.17, , ,"","",43
10089512,GASTON CO., ,05/01/1990,1722,Hail,.75, ,0,0,0,0,NC,CST, , ,C,71,CLT,0,0, , ,0,0,0, ,0, , ,05/01/1990,1722,35.38,-81.38, , ,"","",44
10089519,MECKLENBURG CO., ,05/01/1990,1835,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,119,CLT,0,0, , ,0,0,0, ,0, , ,05/01/1990,1835,35.23,-80.85, , ,"","",45
10089527,SAMPSON CO., ,05/01/1990,2045,Hail,.75, ,0,0,0,0,NC,CST, , ,C,163,ILM,0,0, , ,0,0,0, ,0, , ,05/01/1990,2045,34.83,-78.45, , ,"","",46
10089528,TRANSYLVANIA CO., ,05/02/1990,1532,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,175,AVL,0,0, , ,0,0,0, ,0, , ,05/02/1990,1532,35.15,-82.83, , ,"","",47
10089529,TRANSYLVANIA CO., ,05/02/1990,1556,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,175,AVL,0,0, , ,0,0,0, ,0, , ,05/02/1990,1556,35.15,-82.65, , ,"","",48
10089530,ALEXANDER CO., ,05/02/1990,1633,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,3,GSO,0,0, , ,0,0,0, ,0, , ,05/02/1990,1633,35.95,-81.18, , ,"","",49
10089531,DAVIE CO., ,05/02/1990,1719,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,59,GSO,0,0, , ,0,0,0, ,0, , ,05/02/1990,1719,35.98,-80.57, , ,"","",50
10089532,ROWAN CO., ,05/02/1990,1833,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,159,GSO,0,0, , ,0,0,0, ,0, , ,05/02/1990,1833,35.70,-80.43, , ,"","",51
10089533,DAVIDSON CO., ,05/02/1990,1840,Hail,1.50, ,0,0,0,0,NC,CST, , ,C,57,GSO,0,0, , ,0,0,0, ,0, , ,05/02/1990,1840,35.78,-80.20, , ,"","",52
10089534,ALEXANDER CO., ,05/02/1990,1900,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,3,GSO,0,0, , ,0,0,0, ,0, , ,05/02/1990,1900,35.93,-81.17, , ,"","",53
10089537,IREDELL CO., ,05/02/1990,1938,Hail,.75, ,0,0,0,0,NC,CST, , ,C,97,GSO,0,0, , ,0,0,0, ,0, , ,05/02/1990,1938,35.78,-80.90, , ,"","",54
10089540,UNION CO., ,05/02/1990,2049,Hail,1.25, ,0,0,0,0,NC,CST, , ,C,179,CLT,0,0, , ,0,0,0, ,0, , ,05/02/1990,2049,35.13,-80.38, , ,"","",55
10089544,ANSON CO., ,05/02/1990,2130,Hail,.75, ,0,0,0,0,NC,CST, , ,C,7,CLT,0,0, , ,0,0,0, ,0, , ,05/02/1990,2130,35.15,-80.15, , ,"","",56
10089547,WAKE CO., ,05/04/1990,1600,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,183,RDU,0,0, , ,0,0,0, ,0, , ,05/04/1990,1600,35.82,-78.33, , ,"","",57
10089548,NASH CO., ,05/04/1990,1600,Hail,1.00, ,0,0,0,0,NC,CST, , ,C,127,RDU,0,0, , ,0,0,0, ,0, , ,05/04/1990,1600,35.97,-78.00, , ,"","",58
10089550,HALIFAX CO., ,05/05/1990,1830,Hail,1.25, ,0,0,0,0,NC,CST, , ,C,83,RDU,0,0, , ,0,0,0, ,0, , ,05/05/1990,1830,36.13,-77.42, , ,"","",59
10089559,PITT CO., ,05/20/1990,1633,Hail,1.75, ,0,0,0,0,NC,CST, , ,C,147,RDU,0,0, , ,0,0,0, ,0, , ,05/20/1990,1633,35.57,-77.28, , ,"","",60
