Recent Conditions from 310750
B Everett Jordan Dam
From the State Climate Office of North Carolina (climate.ncsu.edu)

"Month","Total Precipitation (1m)"
2011-04,2.94
2011-05,2.8
2011-06,1.82
2011-07,5.36
2011-08,6.65
2011-09,6.93
2011-10,5.24
2011-11,4.01
2011-12,1.46
2012-01,3.51
2012-02,4.03
2012-03,4.3
2012-04,2.93
2012-05,5.57
2012-06,2.96
2012-07,4.59
2012-08,3.39
2012-09,5.79
2012-10,1.95
2012-11,0.59
2012-12,3.33
2013-01,3.43
2013-02,3.91
2013-03,2.09
2013-04,4.05
2013-05,3.54
2013-06,8.4
2013-07,4.9
2013-08,2.46
2013-09,3.85
2013-10,2.14
2013-11,2.75
2013-12,6.79
2014-01,1.56
2014-02,4.35
2014-03,8.26
2014-04,3.97
2014-05,4.76
2014-06,3.2
2014-07,3.39
2014-08,5.02
2014-09,4.31
2014-10,1.72
2014-11,3.8
2014-12,6.97
2015-01,4.41
2015-02,4.07
2015-03,4.7
2015-04,5.73
2015-05,1.13
2015-06,7.66
2015-07,3.3
2015-08,4.33
2015-09,3.44
2015-10,6.59
2015-11,8.91
2015-12,6.01
2016-01,3.33
2016-02,3.71
2016-03,2.51
2016-04,5.65
2016-05,6.01
2016-06,4.86
2016-07,4.68
2016-08,9.3
2016-09,7.04
2016-10,0.86
2016-11,0.44
2016-12,2.8
2017-01,4.64
2017-02,2.2
2017-03,2.3
2017-04,6.67
2017-05,4.84
2017-06,4.77
2017-07,1.64
2017-08,2.06
2017-09,3.21
2017-10,2.94
2017-11,0.97
2017-12,2.52
2018-01,4.22
2018-02,2.27
2018-03,5.66
2018-04,5.19
2018-05,4.46
2018-06,2.33
2018-07,6.03
2018-08,10.3
2018-09,9.83
2018-10,5.73
2018-11,7.87
2018-12,7.46
2019-01,5.17
2019-02,5.79
2019-03,3.34
2019-04,6.52
2019-05,2.27
2019-06,9.2
2019-07,3.53
2019-08,6.81
2019-09,1.14
2019-10,2.26
2019-11,3.82
2019-12,4.84
2020-01,4.14
2020-02,7.4
2020-03,2.11
2020-04,3.95
2020-05,7.32
2020-06,3.99
2020-07,4.93
2020-08,7.98
2020-09,7
2020-10,4.64
2020-11,6.72
2020-12,7.76
2021-01,5.28
2021-02,7.15
2021-03,2.78
2021-04,0.35
