"Observation Time","Wind Speed (knots)","Wind Speed (mph)","Wind Speed (m/s)",Latitude,Longitude,"Affected County"
"1990-07-01 18:01:00",55,63.29,28.29,34.4,-77.68,"Pender County NC"
"1990-07-01 19:15:00",63,72.5,32.41,35.2,-75.7,"Dare County NC"
"1990-08-20 15:13:00",58,66.75,29.84,35.23,-80.85,"Mecklenburg County NC"
"1990-08-25 13:21:00",61,70.2,31.38,35.12,-77.05,"Craven County NC"
"1990-08-29 17:45:00",52,59.84,26.75,36.3,-76.23,"Pasquotank County NC"
"1991-07-01 15:15:00",60,69.05,30.87,35.42,-76.33,"Hyde County NC"
"1991-07-03 14:00:00",52,59.84,26.75,36.3,-80.15,"Stokes County NC"
"1991-07-03 14:35:00",50,57.54,25.72,36.1,-79.93,"Guilford County NC"
"1991-08-07 11:30:00",54,62.14,27.78,35.3,-77.63,"Lenoir County NC"
"1992-03-10 22:40:00",57,65.59,29.32,35.82,-79.68,"Randolph County NC"
"1992-03-19 15:05:00",65,74.8,33.44,35.35,-79.48,"Moore County NC"
"1992-03-19 16:38:00",58,66.75,29.84,36.23,-76.23,"Pasquotank County NC"
"1992-03-19 17:10:00",69,79.4,35.5,35.88,-75.98,"Dare County NC"
"1992-03-19 18:25:00",50,57.54,25.72,35.2,-75.7,"Dare County NC"
"1992-03-27 13:00:00",52,59.84,26.75,35.88,-75.98,"Dare County NC"
"1992-04-24 20:08:00",55,63.29,28.29,35.32,-80.67,"Cabarrus County NC"
"1992-04-24 20:10:00",52,59.84,26.75,35.37,-78.87,"Harnett County NC"
"1992-04-24 20:35:00",52,59.84,26.75,35.15,-78.9,"Cumberland County NC"
"1992-04-24 20:38:00",52,59.84,26.75,35.23,-78.62,"Cumberland County NC"
"1992-06-05 14:20:00",52,59.84,26.75,35.83,-76.22,"Tyrrell County NC"
"1992-06-08 16:37:00",50,57.54,25.72,36.12,-80.17,"Forsyth County NC"
"1992-06-20 16:15:00",52,59.84,26.75,35.37,-77.7,"Lenoir County NC"
"1992-06-25 13:51:00",52,59.84,26.75,36.17,-77.53,"Halifax County NC"
"1992-06-25 14:25:00",52,59.84,26.75,35.27,-81.18,"Gaston County NC"
"1992-07-01 17:53:00",50,57.54,25.72,33.92,-78.27,"Brunswick County NC"
"1992-07-03 20:50:00",62,71.35,31.9,35.72,-80.83,"Iredell County NC"
"1992-07-18 16:37:00",63,72.5,32.41,35.63,-77.4,"Pitt County NC"
"1992-08-11 21:26:00",57,65.59,29.32,36.18,-79.65,"Guilford County NC"
"1992-08-12 13:54:00",58,66.75,29.84,34.98,-78.9,"Cumberland County NC"
"1992-08-28 14:01:00",65,74.8,33.44,35.62,-77.27,"Pitt County NC"
"1992-08-28 15:35:00",50,57.54,25.72,36.3,-76.23,"Pasquotank County NC"
"1992-11-22 22:50:00",80,92.06,41.16,36.1,-80.25,"Forsyth County NC"
"1993-06-04 16:45:00",65,74.8,33.44,36.38,-78.1,"Warren County NC"
"1993-06-04 17:15:00",52,59.84,26.75,36.1,-78.3,"Franklin County NC"
"1993-06-04 17:48:00",52,59.84,26.75,35.58,-78.68,"Wake County NC"
"1993-06-04 17:55:00",61,70.2,31.38,36.08,-77,"Bertie County NC"
"1993-06-04 18:04:00",52,59.84,26.75,35.8,-77.38,"Pitt County NC"
"1993-06-04 18:25:00",52,59.84,26.75,36.07,-76.62,"Chowan County NC"
"1993-07-10 13:20:00",52,59.84,26.75,36.1,-78.45,"Franklin County NC"
"1993-07-10 14:05:00",56,64.44,28.81,35.85,-78.67,"Wake County NC"
"1993-07-10 14:15:00",58,66.75,29.84,35.58,-78.7,"Wake County NC"
"1993-07-11 14:30:00",56,64.44,28.81,36.13,-80.67,"Yadkin County NC"
"1993-07-13 12:31:00",70,80.55,36.01,34.2,-77.93,"New Hanover County NC"
"1993-07-13 16:08:00",52,59.84,26.75,35.82,-77.53,"Edgecombe County NC"
"1993-08-03 14:56:00",52,59.84,26.75,35.38,-81.18,"Gaston County NC"
"1993-08-03 15:28:00",52,59.84,26.75,35.9,-78.92,"Durham County NC"
"1993-08-17 16:50:00",65,74.8,33.44,36.07,-79.73,"Guilford County NC"
